datetime,Latitude,Longitude,Altitude,(m),Speed(km/h),Total distance(km)
2024-04-02 14:44:30,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:31,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:32,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:33,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:34,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:35,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:36,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:37,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:38,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:39,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:40,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:41,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:42,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:43,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:44,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:45,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:46,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:47,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:48,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:49,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:50,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:51,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:52,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:53,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:54,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:55,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:56,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:57,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:58,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:59,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:45:00,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:45:01,53.355576,-6.280352,81.0,0.0,1.327,
